uid,entertainment,education,dining,park,shopping,metro_station,library,bank,atm,creditunion
7503,1,42,28,9,2,0,2,15,2,12
7203,8,13,15,23,1,0,2,14,5,7
7043,12,50,44,25,5,2,4,50,22,50
7018,38,50,50,28,6,2,5,50,30,50
7412,43,34,50,20,3,0,1,34,10,21
7391,48,50,50,28,11,6,12,50,43,50
7459,3,39,34,8,1,0,5,15,1,12
7030,42,50,50,26,9,4,34,50,28,50
7501,8,39,22,14,0,0,2,8,3,5
7264,17,50,48,26,3,4,11,50,12,35
7469,50,50,50,34,9,5,10,50,49,50
7061,13,50,46,24,0,3,22,22,5,16
7138,7,33,31,9,0,0,3,15,3,8
7417,44,50,50,32,10,5,16,50,47,50
7373,44,50,50,23,5,2,4,50,31,50
7455,2,1,1,5,0,0,0,1,1,0
7428,2,15,15,13,0,0,1,14,0,13
7324,50,50,50,30,8,2,13,50,32,50
7475,42,50,50,22,7,3,10,50,35,50
7476,8,25,21,14,1,1,1,9,1,7
7009,42,50,50,24,6,3,4,50,37,50
7029,40,50,43,27,5,4,29,50,19,47
7335,41,50,47,29,5,4,30,50,20,49
7442,2,23,17,8,1,0,1,19,4,12
7363,4,28,27,8,0,0,2,21,4,13
7443,42,50,50,24,9,2,11,50,28,50
7072,11,19,31,26,1,0,2,18,7,9
7245,50,50,50,18,5,0,4,50,14,37
7052,38,50,50,33,9,4,12,50,46,50
7484,6,50,37,13,1,0,3,34,5,23
7074,40,50,50,27,6,4,5,50,37,50
7021,50,50,50,26,15,7,18,50,50,50
7008,38,50,47,26,9,4,36,50,26,50
7006,36,50,50,27,9,4,25,47,30,50
7062,37,50,50,24,10,5,38,50,28,50
7502,39,50,50,24,9,4,39,50,29,50
7274,37,50,50,22,9,4,41,50,28,50
7235,37,50,50,28,9,4,25,49,30,46
7516,1,13,7,13,0,0,3,11,3,7
7514,1,3,7,6,0,0,0,14,5,8
7518,3,3,4,9,0,0,0,2,0,2
7517,1,6,0,9,0,0,2,6,2,6
7520,34,38,43,12,2,0,3,18,2,13
7524,46,33,50,21,2,0,2,40,14,24
7526,5,27,15,11,2,0,2,8,1,5
7528,5,31,20,15,0,0,2,9,3,3
7530,5,41,39,20,2,3,10,22,4,15
7534,37,50,50,21,3,0,2,45,12,27
7538,2,26,24,11,0,0,2,15,3,10
7536,37,40,50,15,5,0,3,50,9,46
7531,33,50,48,27,2,3,19,31,11,21
7537,9,50,39,18,1,0,4,26,4,21
7545,50,50,50,17,13,4,25,50,29,50
7547,38,50,50,22,11,4,37,48,30,49
7546,39,50,50,14,6,2,30,50,21,50
7552,1,8,12,8,0,0,1,10,3,7
7553,2,31,9,9,1,0,1,7,1,5
7556,2,22,8,6,0,0,3,7,1,5
7555,2,15,6,9,0,0,2,6,1,4
7558,0,7,3,3,0,0,1,5,2,2
7554,2,31,9,8,1,0,1,4,1,4
7515,1,13,7,13,0,0,3,8,2,6
7562,0,20,18,3,0,0,3,10,2,7
7564,1,21,22,5,0,0,3,11,2,8
7563,1,15,17,4,0,0,3,13,2,10
7567,0,22,10,4,2,0,2,12,1,11
7561,0,21,11,5,0,0,3,4,0,4
7568,19,25,32,15,2,0,2,11,4,6
7570,8,48,37,15,0,0,4,14,2,11
7569,14,4,9,14,1,0,0,10,3,6
7572,0,21,8,6,0,0,3,6,1,5
7559,0,19,23,9,0,1,3,20,4,14
7541,35,50,44,16,1,0,2,37,5,31
7575,25,50,32,12,1,0,2,17,5,13
7557,1,6,9,5,0,0,1,16,5,10
7529,10,24,18,14,1,0,3,17,2,13
7576,24,46,31,13,1,0,2,18,5,14
7577,11,50,38,17,0,0,4,21,5,16
7551,29,45,33,18,1,0,4,20,14,25
7549,16,50,38,24,4,2,7,50,18,40
7579,3,50,38,11,1,0,4,45,7,30
7580,5,50,50,11,1,0,5,50,8,34
7540,5,50,23,11,3,2,2,28,5,19
7583,0,7,1,8,0,0,0,3,0,2
7584,3,50,22,1,1,1,9,11,2,9
7585,2,47,8,3,0,1,5,11,5,6
7586,1,24,14,2,0,1,1,13,5,5
7587,0,25,10,5,3,0,2,7,1,5
7588,1,20,6,2,1,0,1,7,3,4
7591,5,50,35,5,1,0,3,42,8,30
7593,1,33,17,3,0,0,1,17,2,13
7598,2,37,13,4,0,1,0,11,1,9
7600,29,50,42,15,5,4,34,50,11,50
7602,2,11,6,5,0,0,1,9,3,5
7603,4,10,10,0,0,0,0,4,1,2
7606,0,32,13,6,0,1,3,6,1,4
7542,50,48,50,28,11,3,13,50,41,50
7607,2,30,19,14,0,0,3,12,4,8
7599,50,50,50,28,11,6,18,50,48,50
7609,0,6,2,5,1,0,0,6,1,4
7618,1,27,13,9,0,0,3,14,3,8
7619,5,50,22,5,1,0,3,34,6,25
7620,5,50,42,9,1,0,5,44,7,28
7621,0,5,10,5,0,0,0,5,2,4
7622,0,3,8,6,0,0,0,5,2,4
7624,1,14,1,4,1,0,2,3,0,3
7277,0,12,0,9,0,0,0,2,0,2
7344,0,2,0,3,0,0,0,0,0,0
7285,11,50,39,24,1,4,33,41,10,28
7250,30,50,40,17,4,4,34,50,14,50
7617,1,4,1,1,0,0,0,0,0,0
7626,2,5,3,1,0,0,1,0,0,0
7615,0,4,3,3,0,0,0,1,0,1
7614,0,44,6,0,0,0,2,6,1,6
7612,1,11,2,2,2,0,2,4,0,4
7613,0,10,1,2,1,0,0,0,0,0
7630,2,38,18,9,1,0,1,5,1,5
7631,1,14,5,2,0,0,3,2,1,1
7522,10,32,34,13,2,2,1,17,2,14
7610,2,45,19,8,1,0,2,9,2,7
7611,0,35,14,3,2,1,0,10,1,8
7033,40,48,50,32,7,4,10,50,43,50
7162,39,50,50,27,9,5,24,50,29,50
7109,21,50,44,13,0,1,10,37,16,40
7629,1,9,6,3,0,0,3,3,1,2
7632,1,21,7,10,0,1,1,14,3,9
7589,0,16,0,4,0,0,1,5,0,5
7590,0,19,4,2,0,0,1,8,0,8
7190,25,50,43,21,3,4,34,44,13,33
7594,0,30,16,4,0,0,3,18,2,13
7333,39,50,50,25,10,5,12,50,48,50
7058,17,50,44,24,1,4,33,41,12,27
7582,0,25,10,9,0,0,3,9,2,5
7473,44,42,50,20,3,0,1,44,12,27
7623,0,8,13,6,0,0,0,3,0,3
7635,1,31,21,8,0,0,1,9,1,7
7156,6,42,38,8,1,2,1,14,3,11
7157,13,34,39,11,2,2,1,17,3,13
7539,1,50,28,10,0,0,2,28,3,17
7581,8,30,26,8,2,0,1,12,4,9
7637,2,20,7,3,0,0,2,7,1,4
7608,0,3,0,5,0,0,0,2,1,1
7641,12,36,20,8,0,1,2,11,3,7
7633,42,33,50,16,2,0,2,28,9,16
7643,2,25,17,8,2,0,1,12,2,9
7644,2,43,24,15,0,1,2,17,4,13
7596,1,50,38,14,0,4,2,23,2,19
7645,0,42,5,0,0,0,2,4,1,4
7291,24,40,25,15,1,0,3,20,11,24
7492,18,30,20,12,1,0,1,14,4,11
7647,50,50,50,22,13,5,27,50,39,50
7263,38,50,50,26,10,5,26,50,37,50
7616,2,6,3,1,0,0,1,0,0,0
7565,8,18,22,5,2,0,2,14,4,11
7348,0,27,13,8,0,0,3,10,1,7
7404,5,50,39,10,1,0,4,42,6,28
7034,34,50,46,27,5,4,14,50,16,43
7332,27,42,38,28,4,4,11,49,12,37
7276,41,50,46,30,5,5,23,50,21,47
7595,1,38,10,8,1,1,1,10,1,8
7654,5,29,17,11,0,1,1,6,0,5
7655,0,49,38,13,0,3,2,21,1,18
7656,16,34,39,12,2,2,1,16,4,11
7327,4,34,28,12,2,0,3,16,2,11
7657,36,50,50,25,5,2,4,50,30,50
7601,0,10,2,12,0,0,0,6,1,4
7634,34,50,50,23,13,5,32,50,31,50
7284,50,50,50,30,12,5,13,50,50,50
7659,2,42,26,14,0,1,2,19,5,14
7133,10,50,30,14,2,3,3,32,7,22
7571,5,27,18,14,0,0,4,4,1,2
7046,32,50,46,20,1,0,2,42,12,24
7662,16,18,24,15,2,0,3,13,3,7
7068,1,14,10,2,1,0,1,9,1,8
7258,6,31,35,14,0,0,2,14,2,9
7091,0,41,36,10,0,3,2,16,0,15
7523,40,27,50,22,2,0,0,32,11,21
7487,3,28,10,14,0,0,1,9,2,7
7406,39,50,50,23,11,6,14,50,46,50
7660,40,50,50,24,10,5,12,50,38,50
7504,1,40,20,6,2,1,0,16,2,13
7663,0,15,5,4,1,0,1,16,1,13
7127,35,50,47,28,5,4,21,50,16,39
7566,10,19,24,3,2,0,2,14,4,11
7664,1,31,4,2,0,0,0,7,0,6
7666,25,43,45,13,2,2,1,22,3,16
7642,5,50,24,10,3,2,2,28,5,19
7416,48,50,50,26,4,1,8,50,24,50
7636,0,21,19,7,0,1,2,14,2,8
7668,44,50,50,19,13,5,28,50,36,50
7665,1,36,4,3,0,0,0,10,0,9
7670,2,42,13,7,0,1,0,12,1,10
7039,50,50,50,22,15,6,18,50,50,50
7197,45,38,50,21,2,0,2,44,14,28
7671,7,50,50,8,1,0,4,43,6,31
7658,0,14,11,4,0,1,0,5,1,2
7646,50,50,50,27,12,6,18,50,50,50
7639,44,50,50,27,2,0,2,49,13,31
7519,0,24,10,8,0,0,2,2,0,2
7292,20,50,50,26,8,3,14,50,26,50
7605,0,29,14,10,0,1,2,8,1,6
7625,2,46,11,7,0,1,0,12,1,10
7381,7,50,49,8,1,0,5,47,7,33
7016,15,43,46,18,4,2,1,50,25,50
7135,38,24,50,19,2,0,0,30,12,18
7096,1,17,7,5,1,0,2,7,3,4
7604,3,14,9,1,0,0,0,4,1,2
7172,14,13,25,19,1,0,1,26,10,14
7104,25,50,33,15,1,0,2,22,6,18
7597,2,36,13,5,0,1,0,12,1,10
7648,33,50,48,21,5,3,11,50,13,35
7117,4,35,19,9,1,2,2,12,3,6
7676,1,32,3,0,0,0,0,3,0,3
7677,6,50,28,15,3,3,3,28,5,20
7354,0,0,0,0,0,0,0,0,0,0
7678,4,50,21,1,1,2,8,14,2,11
7429,2,41,23,16,0,1,2,18,4,14
7667,11,50,38,26,0,3,33,41,10,27
7681,3,19,14,5,0,0,1,9,2,7
7382,50,50,50,29,12,5,13,50,49,50
7022,50,50,50,26,12,6,18,50,50,50
7682,46,50,50,32,2,0,3,50,15,33
7684,29,50,45,23,6,3,3,50,33,50
7237,10,33,26,13,1,3,1,12,2,9
7322,37,30,41,21,2,0,2,37,12,21
7685,50,50,50,25,7,0,8,50,24,50
7687,13,35,41,10,1,2,1,12,2,10
7688,5,19,7,7,1,0,1,11,1,8
7689,1,50,40,13,0,3,2,25,2,19
7211,21,24,42,27,1,0,2,26,9,14
7533,17,39,37,23,1,0,2,36,11,23
7675,32,36,50,13,1,0,2,23,4,18
7683,29,50,50,25,6,3,5,50,34,50
7692,3,37,17,10,0,0,2,13,1,11
7693,43,50,50,22,9,2,12,50,42,50
7695,2,17,14,16,0,0,1,15,1,13
7696,3,29,14,16,0,0,2,15,2,12
7698,7,18,10,7,0,0,2,11,1,8
7701,27,35,27,17,1,0,1,17,1,13
7216,32,41,49,20,3,0,2,40,13,21
7702,8,50,34,16,0,0,3,16,3,11
7691,8,50,31,15,0,0,4,3,0,2
7050,40,50,50,22,8,4,11,50,40,50
7037,31,46,50,13,5,0,7,50,12,48
7703,12,50,35,15,0,0,3,24,7,17
7704,0,46,29,12,0,3,1,13,2,11
7705,8,44,38,14,0,0,3,15,2,12
7706,2,44,28,10,0,3,3,11,3,8
7686,41,50,50,26,5,2,4,50,29,50
7707,12,14,25,24,0,0,2,18,6,11
7708,2,42,24,14,0,1,2,16,4,11
7699,4,37,31,12,1,0,5,13,1,10
7709,2,50,30,9,2,1,3,34,6,22
7627,5,46,30,12,0,0,3,10,2,7
7460,4,12,14,11,0,0,1,8,1,6
7700,3,37,31,7,1,0,5,15,1,12
7527,7,17,11,7,1,0,3,13,1,10
7710,26,50,43,24,1,3,24,31,10,21
7001,34,50,50,32,10,4,24,50,25,50
7256,50,47,50,18,8,1,12,50,21,50
7042,15,50,41,25,1,2,6,48,15,31
7202,50,50,50,29,12,6,18,50,47,50
7228,14,15,22,11,2,0,2,10,3,4
7711,20,50,47,13,1,0,2,24,4,19
7650,3,24,21,7,0,0,1,20,4,13
7712,40,39,50,21,2,0,0,46,12,32
7679,4,50,21,1,1,2,8,18,2,15
7640,2,30,21,12,1,0,2,20,4,13
7260,50,50,50,26,9,2,14,50,29,50
7099,23,50,41,14,1,0,2,23,7,17
7453,20,50,50,28,5,4,13,50,23,50
7713,50,50,50,28,11,6,17,50,47,50
7345,0,2,0,3,0,0,0,0,0,0
7728,18,42,31,15,0,3,1,18,2,13
7719,50,45,50,15,7,0,9,50,16,50
7715,2,31,14,9,0,0,1,10,3,7
7717,50,50,50,25,3,0,6,50,16,39
7716,34,50,50,26,5,3,4,50,37,50
7720,48,50,50,19,4,0,7,50,22,50
7721,45,49,50,34,9,4,12,50,41,50
7724,8,50,40,14,1,1,5,26,6,15
7725,28,36,27,20,3,2,7,19,8,11
7130,29,50,39,27,4,4,13,37,9,27
7680,15,6,20,15,2,0,0,17,6,11
7243,26,12,33,18,2,0,0,25,9,15
7729,1,26,24,10,0,1,3,15,2,9
7730,21,19,38,22,2,0,2,32,12,17
7548,39,50,50,29,10,3,31,50,27,50
7731,1,29,14,2,1,0,0,8,1,7
7505,32,49,50,20,1,0,6,50,20,50
7738,0,11,8,3,0,0,0,0,0,0
7732,1,7,4,4,0,0,1,2,0,2
7735,1,8,4,3,0,0,1,1,0,1
7737,0,11,2,2,0,0,0,0,0,0
7736,1,10,1,3,0,0,1,0,0,0
7733,0,26,12,4,2,1,0,9,1,7
7734,1,11,6,2,0,0,1,2,0,2
7743,4,10,11,2,3,0,0,7,0,6
7740,0,11,13,1,0,0,1,5,0,5
7742,5,18,15,2,3,0,1,11,1,8
7251,37,50,35,30,4,5,36,50,18,38
7746,2,13,14,8,2,0,1,14,3,9
7745,2,14,9,3,3,0,1,4,0,4
7744,2,12,3,5,0,0,0,6,1,4
7747,5,23,18,3,0,0,1,11,1,7
7094,2,50,37,12,0,3,2,28,3,21
7748,0,12,7,4,0,0,0,5,0,4
7749,1,20,6,3,0,1,1,11,1,8
7750,0,39,21,7,2,1,1,12,2,9
7543,50,43,47,12,6,0,14,50,13,41
7752,2,3,0,7,0,0,0,6,2,6
7751,1,25,8,2,0,1,1,13,2,9
7753,0,7,12,8,0,0,2,16,5,10
7741,9,28,15,13,0,0,1,15,1,10
7025,23,42,37,28,4,4,11,50,12,37
7754,3,25,18,2,2,0,1,21,4,14
7755,0,10,5,2,0,0,1,1,0,1
7756,1,20,10,2,4,0,2,7,3,5
7758,1,18,10,1,4,0,1,5,1,3
7760,2,14,12,3,0,0,4,12,2,10
7759,2,50,12,0,2,2,5,11,1,10
7506,30,50,50,20,1,0,6,50,15,43
7739,0,10,10,5,0,0,1,2,0,2
7761,39,50,50,22,7,2,11,50,23,50
7241,24,50,50,33,9,3,16,50,22,50
7398,31,50,50,26,7,3,7,50,37,50
7718,50,50,50,22,6,0,8,50,20,50
7762,38,50,42,18,8,2,32,50,21,50
7521,20,46,37,14,2,2,1,20,3,15
7757,47,50,50,29,6,1,8,50,28,50
7311,15,47,40,23,1,3,9,47,13,32
1405,36,50,50,25,9,5,36,50,28,50
7694,0,14,7,2,0,0,3,4,0,4
